1,3,car,1.3261873608727421,ENTERED
1,3,car,1.3924967289163792, LEFT
1,3,car,1.3261873608727421,ENTERED
1,3,car,1.3924967289163792, LEFT
1,32,car,1.3261873608727421,ENTERED
1,32,car,1.3924967289163792, LEFT
1,3,car,1.3261873608727421,ENTERED
1,3,car,1.3924967289163792, LEFT
1,32,car,1.3008077116935484,ENTERED
1,32,car,1.3675157994727047, LEFT
1,47,car,5.903665768455335,ENTERED
1,47,car,7.037703260700992, RIGHT
2,38,car,43.42696514423077,ENTERED
2,35,car,43.9939838903536,ENTERED
2,38,car,44.19410815369107, RIGHT
2,86,car,46.962493796526054,ENTERED
1,89,car,47.62957467431762,ENTERED
2,88,car,49.09715260545906,ENTERED
1,89,car,49.697525395471466, LEFT
1,92,car,49.997711790477666,ENTERED
2,91,car,50.29789818548387,ENTERED
2,95,car,51.49864376550868,ENTERED
2,95,car,51.76547611662531, RIGHT
1,92,car,51.96560037996278, LEFT
2,96,car,52.3992029505273,ENTERED
1,105,Car,1.3261873608727421,ENTERED
1,105,Car,1.7571982531563834, LEFT
1,123,Car,1.3008077116935484,ENTERED
1,123,Car,1.7677643261476426, LEFT
2,124,Car,43.39361110034119,ENTERED
2,124,Car,44.19410815369107, RIGHT
2,169,Motorcycle sidecar,44.99460520704094,ENTERED
1,172,Motorcycle sidecar,45.42820777760546,ENTERED
1,175,Motorcycle sidecar,46.195350787065756,ENTERED
1,172,Motorcycle sidecar,46.59559931374069, LEFT
1,177,Motorcycle sidecar,47.06255592819479,ENTERED
1,181,Car,47.6629287182072,ENTERED
1,175,Motorcycle sidecar,48.29665555210918, LEFT
1,177,Motorcycle sidecar,48.730258122673696, LEFT
2,178,Car,49.36398495657568,ENTERED
1,183,Motorcycle sidecar,49.46404708824441,ENTERED
1,181,Car,49.697525395471466, LEFT
1,185,Car,49.997711790477666,ENTERED
2,178,Truck,50.16448200992556, RIGHT
2,184,Car,50.29789818548387,ENTERED
1,183,Motorcycle sidecar,51.13174928272333, LEFT
1,185,Car,51.96560037996278, LEFT
